שם פרויקט,מספר פרויקט,סטטוס
קציר ,109,הסתיים
קציר עבודות שוטפות,3391,הסתיים
קצרין,3148,הסתיים
קצרין - הרחבת אזור תעשיה 3/2016,30525,הסתיים
קצרין - עבודות פיתוח באזור התעשיה פק/9/2018,30690,הסתיים
קריון,3896,הסתיים
קרינה שימושית,3618,הסתיים
קרית אונו - קא/322,590,הסתיים
"קרית אונו 87 יח""ד",661,הסתיים
קרית אונו- 91 יחידות דיור,445,הסתיים
קרית אתא - שיקום רחוב ברנר,3959,הסתיים
קרית בית הנהלת רכבת ישראל,648,הסתיים
קרית בית הנהלת רכבת ישראל-מסירות,6481,הסתיים
קרית גת - גליקמן,231,הסתיים
"קרית גת - רובע הפרחים - משהב""ש",681,הסתיים
קרית גת רובע בני ישראל,4361,הסתיים
קרית המודיעין,1018,הסתיים
קרית יערים,257,הסתיים
קרית מגדל,578,הסתיים
קרית מגדל - עבודות גמר בקומות עליונות,807,הסתיים
קרית מנחם - אופקים,5069,הסתיים
"קרן - ת""א - תחרות כיכר המוזיאן",336,הסתיים
"קש""צ ג' משרד הביטחון",230,הסתיים
קשר בראל,319,הסתיים
ר.ש.ת האזור הדרומי,372,הסתיים
ראם מגרש 119,909,הסתיים
"ראמה - הרחבת אז""ת 1031/2015",30500,הסתיים
ראמה - כביש כניסה לסאג'ור - 38/2019,306901,הסתיים
ראס אל עין,3166,הסתיים
ראש הנקרה,3167,הסתיים
"ראשל""צ",112,הסתיים
"ראשל""צ - דוניץ",704,הסתיים
"ראשל""צ מערב - אזורים\אפ""י - 500 יח""ד",407,הסתיים
רגבים,3371,הסתיים
"רה ארגון תח""צ - התאמת תחנות אוטובוס ח.10562/9",3968,הסתיים
רהט - פיקוח פרויקטים,5080,הסתיים
רהט - קו ביוב וקידוח אופקי שלב א' 10011-19,317222,הסתיים
רושדי חלבי,3426,הסתיים
רח' אחוזה כיכר,3336,הסתיים
רח' באצבעות - בנימינה,3402,הסתיים
"רח' גן עוז פ""ח",3363,הסתיים
רח' הברזל - רוגובין,204,הסתיים
"רח' המייסדים, הגליל, הקציר והאסיף",3353,הסתיים
רח' העצמאות - בנימינה,3400,הסתיים
"רח' השושנה, רח' הבוסתן, רח' האגוז - בנימינה",3406,הסתיים
"רח' מסילה - פ""ח",3346,הסתיים
רחוב אמירים,3728,הסתיים
רחוב הארז,3431,הסתיים
רחוב הדולב בנימינה - חיבורי ביוב בגבעת עדה,3886,הסתיים
רחוב הקמה,3729,הסתיים
רחוב חזן,3629,הסתיים
רחובות - אשכולות פיס,187,הסתיים
רחובות - בית ספר - עיריה,166,הסתיים
רחובות - מכון שאיבת מים,189,הסתיים
"רחובות 201 יח""ד",200,הסתיים
רחובות החדשה ,153,הסתיים
רחובות ותיקים - בנימינה,3408,הסתיים
ריג'נסי גרדנס – הכש'י,197,הסתיים
ריינה,3143,הסתיים
רישוי מבנים - מדרשת בן גוריון,5091,הסתיים
רישוי מועדון פורום,5123,הסתיים
רישוי שופרסל + קרטינג קרית יהודית,5173,הסתיים
"רישום חשבונות משהב""ש - דרך חברון",606,הסתיים
רכבת - משואה,810,הסתיים
"רכבת - קו ב""ש - נתיבות",414,הסתיים
רכבת - תחנת אופקים,426,הסתיים
רכבת - תחנת נתיבות,427,הסתיים
"רכבת ב""ש - נתיבות: ביצוע מכרז ח' ותחנות",741,הסתיים
רכבת ישראל - היתרים,771,הסתיים
רכבת לוד - בנין הדרכה שלב ב,844,הסתיים
רכבת קלה ירושלים,4316,הסתיים
רכס חלילים,4315,הסתיים
רמות ירושלים,1107,הסתיים
רמות ירושלים - תכנית שלד,1108,הסתיים
רמלה אזור התעשייה,452,הסתיים
רמת בית הכרם,4205,הסתיים
רמת בית הכרם - ירושלים,311,הסתיים
רמת בית שמש רובע ד',685,הסתיים
רמת גבריאל - 420,30420,הסתיים
רמת גבריאל - עבודות פיתוח ברמת גבריאל 13/18,30691,הסתיים
רמת רחל - מבנים,240,הסתיים
רמת רחל - מתחם ט'1,4246,הסתיים
רמת רחל / גד,4229,הסתיים
רמת רחל פיתוח ,278,הסתיים
רמת שרת,4348,הסתיים
רפאל - מבנה סימולציה,355,הסתיים
"רקל""ה הקו הירוק",4349,הסתיים
רשות השידור - ירושלים,364,הסתיים
רשות ניקוז כרמל,3375,הסתיים
"רשל""צ - שכ""ע 288 יח""ד",170,הסתיים
רתמים-טללים,5055,הסתיים
ש/241 מגרש ספורט,3202,הסתיים
"שב""ס - כלא ניצן",413,הסתיים
"שב""ס - מדמה כלא",417,הסתיים
שביל התפוזים הוד השרון,925,הסתיים
שגב שלום,5056,הסתיים
שגב שלום - השלמת תאורה 2003-20,317227,הסתיים
שגיא 2000,3145,הסתיים
שדה תעופה תמנע,723,הסתיים
שדרוג רחוב סוקולוב,758,הסתיים
שדרוג רחובות בנתניה,333,הסתיים
שדרות - פיתוח רחבת העירייה שלב א' 13-2018,317226,הסתיים
שוהם 62 - ביצוע,1117,הסתיים
שופרסל - נתניה,167,הסתיים
שופרסל נתניה,3305,הסתיים
שופרסל צומת חולון,660,הסתיים
שוק מגדל העמק,3144,הסתיים
שורש,177,הסתיים
שחק (שקד) - 499,30499,הסתיים
שחק (שקד) - 516,30516,הסתיים
שחק (שקד) - השלמת פיתוח שלב א' 1865/14/15,30526,הסתיים
"שחק (שקד) - שדרוג והגדלת מט""ש 2628/92016",306882,הסתיים
שחק (שקד) - תחנת שאיבה 1897/16,306886,הסתיים
"שחקים 15 יח""ד בחדרה",3889,הסתיים
שטח 9 גבעתיים – שכון עובדים,264,הסתיים
שיכום מבנים - יפה נוף,3746,הסתיים
"שיכון עובדים - גבעתיים 210 יח""ד",147,הסתיים
שיכון עובדים - חיפה,255,הסתיים
שיכון עובדים כרכור,3422,הסתיים
שילה ומעלה אפריים -   עבודות פיתוח ותשתית חלק א' -,317230,הסתיים
שיפוץ בניין סטון מכון ויצמן,7051,הסתיים
שיפוץ גראנד קניון,965,הסתיים
שיפוץ דיור מוגן אחוזת בית רעננה,903,הסתיים
שיפוץ הבימה,5015,הסתיים
שיפוץ חזיתות מערכת חינוך,3826,הסתיים
"שיפוץ לב ח""ש",3773,הסתיים
שיפוץ מבנה העירייה,5119,הסתיים
שיפוץ מבנה יד שרה בחיפה,3917,הסתיים
שיפוץ מבנה משרדים - כיל ישראל,5178,הסתיים
שיפוץ מבנים מ.א. עמק יזרעאל,3649,הסתיים
שיפוץ מרכז מסחרי נווה סביון,635,הסתיים
"שיפוץ משרד עו""ד",3801,הסתיים
"שיפוץ משרדי אגף שפ""ע",3824,הסתיים
שיפוץ משרדי כלל ירושלים,926,הסתיים
שיפוץ משרדי שיכון עבדים,441,הסתיים
"שיפוץ קניון ערים כ""ס",610,הסתיים
שיפוץ קניון רמת אביב,840,הסתיים
שיפוצי קיץ,5045,הסתיים
שיקום דרך יתיר - מיתר,5020,הסתיים
שיקום כביש גישה למושב גבע כרמל,3198,הסתיים
שיקום כביש גישה למושב מגדים,3706,הסתיים
שיקום מגרש כדורסל,5024,הסתיים
"שיקום מוס""צ (בי""ס דרור, נסיוני, שו""ב)",3607,הסתיים
שיקום שלמה המלך - הרצליה,438,הסתיים
שירות התעסוקה - בית שאן,3693,הסתיים
שכ' 498 - בנימינה,3386,הסתיים
שכ' 522 אזור 1+2 בנימינה,3404,הסתיים
שכונת אל דאהר - א.א פחם,3364,הסתיים
שכונת ארטישוק-גבים,5183,הסתיים
שכונת הרצוג - אשקלון,5013,הסתיים
שכונת מגורים נס ציונה מזרח,740,הסתיים
"שכונת עקיבא - פ""ת",301,הסתיים
שכונת שיבולים - ניר עם,5181,הסתיים
שלמה המלך - ק.אונו,294,הסתיים
שלמה המלך נתניה,931,הסתיים
שם טוב - ירושלים,216,הסתיים
שמחוני – עפולה,3904,הסתיים
"שמעה מיתרים - התאמת מט""ש לשפכים 1.2020",317228,הסתיים
שער דרום,854,הסתיים
"שער הגיא יקנעם - 95 יח""ד",3970,הסתיים
שער הים נתניה,7048,הסתיים
שער הנגב - עבודות השלמות פיתוח באז״ת -  20007-20,317229,הסתיים
שער העיר לוד,307,הסתיים
שפרעם - השלמת פיתוח  34/2013,30430,הסתיים
תאומי רובינשטיין ,915,הסתיים
"תב""ע מכ/376",3114,הסתיים
"תב""ע מכ/384",3113,הסתיים
"תב""ע מכ/9א' (חחכורות)",3126,הסתיים
תדיר גן - עפולה,146,הסתיים
"תוס' לבי""ס מורשה - פ""ח",3342,הסתיים
תוספת כיתה בנופית,3914,הסתיים
"תוספת לבי""ס מורשה",209,הסתיים
תוספת קומות משרדי ממשלה ראשלצ,893,הסתיים
תוצרת הארץ אפיקים בנגב,5126,הסתיים
תחנת דלק - טייבה,390,הסתיים
תחנת דלק עד הלום,5191,הסתיים
תחנת רכבת אופקים,7032,הסתיים
תחנת רכבת מזכרת בתיה,7072,הסתיים
תחנת שאיבה - צ'ק פוסט צפון,3819,הסתיים
תחנת שאיבה אום אל פחם,3354,הסתיים
תכנית אב רכבת – מתחם לוד,670,הסתיים
תל השומר - משרדים,330,הסתיים
"תמ""א 38",596,הסתיים
"תמ""א 47 - ירקון ",1109,הסתיים
"תמ""א 47 - צפון מערב",1110,הסתיים
תמא 47 - אילון,1168,הסתיים
תמא 48/1 - הוד השרון,986,הסתיים
תמך 1 - ניהול תכנון,1098,הסתיים
תנובות 61 - ביצוע,1116,הסתיים
תשתיות בני ברק,706,הסתיים
תת קרקע ירושלים - תכנית אב,357,הסתיים
